epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,0,30000,412,9728,1585,18275,269998
1,20732,9268,1450,8711,2540,17299,80865
2,22344,7656,2396,8628,2585,16391,79365
3,27917,2083,1553,8972,1902,17573,53969
4,29599,401,2286,8576,1929,17209,40583
5,29670,330,2513,8776,2005,16706,37211
6,29460,540,3375,8561,2169,15895,44471
7,29959,41,3992,8410,2571,15027,33550
8,28127,1873,4518,8154,2816,14512,47510
9,29704,296,6129,7519,2898,13454,36474
10,29998,2,4998,8223,2578,14201,30698
11,29999,1,5340,8161,2581,13918,30512
12,29999,1,4753,8306,2266,14675,30363
13,30000,0,5334,8323,2392,13951,30314
14,30000,0,5282,8391,2434,13893,30447
15,29996,4,6254,8221,2518,13007,30647
16,30000,0,6994,8083,2660,12263,30277
17,30000,0,6845,8016,2665,12474,30377
18,30000,0,6760,8223,2531,12486,30212
19,30000,0,6547,8411,2326,12716,30191
20,30000,0,7181,8180,2563,12076,30156
21,30000,0,5547,8476,2110,13867,30201
22,29999,1,6399,8435,2305,12861,30186
23,29999,1,7032,8280,2306,12382,30253
24,29923,77,7189,8284,2420,12107,31489
25,28958,1042,7744,8197,2378,11681,37243
26,29857,143,7747,8118,2439,11696,31841
27,30000,0,7988,7895,2464,11653,30148
28,30000,0,8068,7927,2511,11494,30119
29,30000,0,6594,8309,2306,12791,30117
30,29997,3,5281,8340,2753,13626,30566
31,29999,1,6173,8515,2338,12974,30451
32,29937,63,7186,8121,2293,12400,30783
33,29601,399,7711,8133,2492,11664,33823
34,29299,701,7075,8344,2180,12401,36642
35,28946,1054,6989,8581,2270,12160,36414
36,29404,596,5478,8843,1802,13877,35863
37,29993,7,5561,8865,1823,13751,30681
38,29992,8,5951,8770,1818,13461,30438
39,29984,16,6667,8750,2037,12546,30539
40,29999,1,6673,8735,1714,12878,30218
41,30000,0,6504,8660,1868,12968,30155
42,29999,1,6566,8791,1784,12859,30109
43,30000,0,6035,8728,1580,13657,30040
44,30000,0,6224,8541,1383,13852,30066
45,29992,8,5104,8851,1426,14619,30157
46,29991,9,4987,9148,1434,14431,30149
47,29998,2,4200,9251,1097,15452,30068
48,29990,10,2783,9229,1170,16818,30161
49,29993,7,2778,9307,1055,16860,30164
50,29996,4,3406,9411,922,16261,30144
