epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,446,29554,2326,7785,3144,16745,265410
1,8526,21474,3987,8217,3370,14426,248105
2,8616,21384,8776,7644,3388,10192,250446
3,11874,18126,12677,6881,3213,7229,248057
4,14129,15871,15277,6383,2844,5496,232028
5,15565,14435,17085,6069,2529,4317,216941
6,16749,13251,18394,5970,2296,3340,206242
7,17801,12199,19530,5594,1943,2933,197908
8,18883,11117,20434,5552,1703,2311,184777
9,19458,10542,21190,5397,1451,1962,172402
10,20051,9949,21543,5401,1317,1739,170598
11,20367,9633,22226,5331,1029,1414,164003
12,20901,9099,22640,5246,901,1213,158332
13,21180,8820,22794,5195,863,1148,154130
14,21498,8502,23231,5086,646,1037,154507
15,21744,8256,23474,5056,586,884,149409
16,21721,8279,23599,5019,533,849,148627
17,22080,7920,23837,4990,445,728,144957
18,22244,7756,23860,4982,480,678,144647
19,22214,7786,24095,4928,378,599,143425
20,22220,7780,23999,5002,353,646,141586
21,22381,7619,24092,4976,326,606,140726
22,22505,7495,24294,4912,275,519,139879
23,22382,7618,24388,4885,250,477,142622
24,22744,7256,24486,4820,249,445,134422
25,22466,7534,24518,4826,210,446,136773
26,22674,7326,24629,4752,189,430,135131
27,22783,7217,24565,4781,215,439,136757
28,22530,7470,24388,5049,183,380,137662
29,22690,7310,24504,4910,223,363,137048
30,22651,7349,24336,4958,245,461,140978
31,22788,7212,24624,4838,177,361,135012
32,22837,7163,24691,4835,152,322,134587
