,init_a,init_b,init_c,loss_sim,loss_altmin_focus_first,loss_altmin_classify_first,test_acc_sim,test_acc_altmin_focus_first,test_acc_altmin_classify_first
0,-0.1,-0.1,-0.1,0.073,0.107,0.115,99.6,99.8,99.3
1,-0.1,-0.1,0.0,0.073,0.107,0.115,99.6,99.8,99.3
2,-0.1,-0.1,0.1,0.073,0.107,0.115,99.6,99.8,99.3
3,-0.1,0.0,-0.1,0.075,0.111,0.11800000000000001,99.6,99.8,99.3
4,-0.1,0.0,0.0,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
5,-0.1,0.0,0.1,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
6,-0.1,0.1,-0.1,0.076,0.11199999999999999,0.11900000000000001,99.6,99.8,99.3
7,-0.1,0.1,0.0,0.075,0.111,0.11699999999999999,99.6,99.8,99.3
8,-0.1,0.1,0.1,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
9,0.0,-0.1,-0.1,0.684,0.6890000000000001,0.114,54.9,51.8,99.3
10,0.0,-0.1,0.0,0.684,0.6890000000000001,0.114,54.9,51.8,99.3
11,0.0,-0.1,0.1,0.684,0.6890000000000001,0.114,54.9,51.8,99.3
12,0.0,0.0,-0.1,0.075,0.11,0.11699999999999999,99.6,99.8,99.3
13,0.0,0.0,0.0,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
14,0.0,0.0,0.1,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
15,0.0,0.1,-0.1,0.075,0.111,0.11800000000000001,99.6,99.8,99.3
16,0.0,0.1,0.0,0.075,0.11,0.11599999999999999,99.6,99.8,99.3
17,0.0,0.1,0.1,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
18,0.1,-0.1,-0.1,0.684,0.6890000000000001,0.6890000000000001,54.9,51.8,52.6
19,0.1,-0.1,0.0,0.684,0.6890000000000001,0.6890000000000001,54.9,51.8,52.6
20,0.1,-0.1,0.1,0.684,0.6890000000000001,0.6890000000000001,54.9,51.8,52.6
21,0.1,0.0,-0.1,0.684,0.6890000000000001,0.6890000000000001,54.9,51.8,52.6
22,0.1,0.0,0.0,0.684,0.6890000000000001,0.11599999999999999,54.9,51.7,99.3
23,0.1,0.0,0.1,0.684,0.109,0.11599999999999999,54.9,99.8,99.3
24,0.1,0.1,-0.1,0.07400000000000001,0.11,0.11599999999999999,99.6,99.8,99.3
25,0.1,0.1,0.0,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
26,0.1,0.1,0.1,0.07400000000000001,0.109,0.11599999999999999,99.6,99.8,99.3
