epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,0,30000,412,9728,1585,18275,269998
1,4861,25139,6744,8596,3183,11477,239907
2,14323,15677,14428,6874,2803,5895,202108
3,18820,11180,18448,5802,2095,3655,188110
4,21269,8731,20851,5245,1460,2444,174776
5,22160,7840,22270,4835,1142,1753,170883
6,22757,7243,23267,4653,822,1258,163990
7,22024,7976,23808,4544,635,1013,182389
8,22543,7457,24145,4519,536,800,171791
9,22834,7166,24646,4288,394,672,171799
10,23347,6653,24948,4163,332,557,160740
11,23755,6245,24854,4319,321,506,153638
12,23025,6975,25312,4011,254,423,173116
13,22879,7121,25365,4049,234,352,172340
14,23748,6252,25384,4075,223,318,155747
15,23794,6206,25513,3993,209,285,159194
