S.No.,configuration,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [1, 2, 3]","bg = [0, 4, 5, 6, 7, 8, 9]",30000,68.46333333333334,30.073333333333334,0.37333333333333335,1.09,21256
2,fg = 1,"bg = 0,4,5",3220,95.43478260869566,4.409937888198757,0.062111801242236024,0.09316770186335403,3151
3,fg = 1,"bg = 0,4,6",3134,95.405232929164,4.211869814932993,0.09572431397574985,0.2871729419272495,3062
4,fg = 1,"bg = 0,4,7",3166,95.76753000631712,3.9481996209728365,0.03158559696778269,0.2526847757422615,3104
5,fg = 1,"bg = 0,4,8",3207,95.91518553164951,3.897723729342064,0.06236357966947303,0.12472715933894606,3140
6,fg = 1,"bg = 0,4,9",3233,95.36034642746675,4.361274358181256,0.06186204763377668,0.21651716671821838,3161
7,fg = 1,"bg = 0,5,6",3184,95.25753768844221,4.428391959798995,0.12562814070351758,0.1884422110552764,3111
8,fg = 1,"bg = 0,5,7",3237,95.79857893110905,3.9542786530738336,0.09267840593141798,0.15446400988569664,3172
9,fg = 1,"bg = 0,5,8",3256,95.82309582309583,3.9004914004914006,0.030712530712530713,0.2457002457002457,3185
10,fg = 1,"bg = 0,5,9",3201,95.47016557325836,4.217432052483599,0.062480474851608875,0.2499218994064355,3139
11,fg = 1,"bg = 0,6,7",3216,95.42910447761194,4.135572139303482,0.09328358208955224,0.3420398009950249,3144
12,fg = 1,"bg = 0,6,8",3194,95.83594239198497,3.8509705698184096,0.06261740763932373,0.25046963055729493,3121
13,fg = 1,"bg = 0,6,9",3163,95.3841289914638,4.268099905153336,0.09484666455896301,0.25292443882390137,3087
14,fg = 1,"bg = 0,7,8",3244,95.80764488286067,3.945745992601726,0.0,0.2466091245376079,3180
15,fg = 1,"bg = 0,7,9",3255,95.66820276497695,3.9938556067588324,0.06144393241167435,0.2764976958525346,3192
16,fg = 1,"bg = 0,8,9",3213,95.6738250855898,4.014939309056956,0.03112356053532524,0.2801120448179272,3140
17,fg = 1,"bg = 4,5,6",3228,95.26022304832713,4.399008674101611,0.12391573729863693,0.21685254027261464,3155
18,fg = 1,"bg = 4,5,7",3261,95.76816927322908,3.955841766329347,0.09199632014719411,0.18399264029438822,3195
19,fg = 1,"bg = 4,5,8",3305,95.61270801815431,4.236006051437216,0.060514372163388806,0.0907715582450832,3233
20,fg = 1,"bg = 4,5,9",3251,95.41679483235927,4.398646570286066,0.061519532451553366,0.12303906490310673,3183
21,fg = 1,"bg = 4,6,7",3237,95.61322211924622,3.9542786530738336,0.09267840593141798,0.33982082174853256,3168
22,fg = 1,"bg = 4,6,8",3224,95.84367245657569,3.9392059553349874,0.09305210918114144,0.12406947890818859,3155
23,fg = 1,"bg = 4,6,9",3193,95.33354212339492,4.321954274976511,0.09395552771688068,0.2505480739116818,3114
24,fg = 1,"bg = 4,7,8",3255,95.63748079877112,4.178187403993856,0.030721966205837174,0.15360983102918588,3188
25,fg = 1,"bg = 4,7,9",3256,95.48525798525799,4.238329238329238,0.06142506142506143,0.214987714987715,3190
26,fg = 1,"bg = 4,8,9",3257,95.36383174700644,4.482652747927541,0.030703101013202335,0.12281240405280934,3178
27,fg = 1,"bg = 5,6,7",3296,95.32766990291262,4.277912621359223,0.1820388349514563,0.21237864077669902,3224
28,fg = 1,"bg = 5,6,8",3232,95.32797029702971,4.393564356435643,0.09282178217821782,0.18564356435643564,3157
29,fg = 1,"bg = 5,6,9",3165,95.35545023696683,4.328593996840443,0.1263823064770932,0.1895734597156398,3097
30,fg = 1,"bg = 5,7,8",3303,95.42839842567363,4.359673024523161,0.060551014229488345,0.15137753557372086,3229
31,fg = 1,"bg = 5,7,9",3281,95.61109417860409,4.114599207558671,0.121914050594331,0.15239256324291375,3219
32,fg = 1,"bg = 5,8,9",3247,95.3803510933169,4.342469972282107,0.030797659377887282,0.24638127502309826,3170
33,fg = 1,"bg = 6,7,8",3269,95.22789843988987,4.46619761394922,0.06118078923218109,0.24472315692872437,3197
34,fg = 1,"bg = 6,7,9",3258,95.39594843462247,4.2050337630448125,0.12277470841006753,0.27624309392265195,3187
35,fg = 1,"bg = 6,8,9",3167,95.42153457530786,4.262709188506473,0.0947268708556994,0.22102936532996525,3084
36,fg = 1,"bg = 7,8,9",3252,95.29520295202953,4.45879458794588,0.03075030750307503,0.21525215252152521,3179
37,fg = 2,"bg = 0,4,5",3131,60.14053018205046,37.016927499201536,0.830405621207282,2.012136697540722,1891
38,fg = 2,"bg = 0,4,6",3151,61.66296413836877,35.35385591875595,0.9203427483338623,2.0628371945414155,1895
39,fg = 2,"bg = 0,4,7",3136,62.308673469387756,34.94897959183673,0.7334183673469388,2.0089285714285716,1944
