FTPT,FFPT,FTPF,FFPF
78.33333333333333,21.666666666666668,0.0,0.0
100.0,0.0,0.0,0.0
99.9,0.1,0.0,0.0
73.46666666666667,26.533333333333335,0.0,0.0
77.76666666666667,22.233333333333334,0.0,0.0
70.93333333333334,29.066666666666666,0.0,0.0
78.53333333333333,21.466666666666665,0.0,0.0
71.36666666666666,28.633333333333333,0.0,0.0
100.0,0.0,0.0,0.0
77.76666666666667,22.233333333333334,0.0,0.0
100.0,0.0,0.0,0.0
99.93333333333334,0.06666666666666667,0.0,0.0
78.53333333333333,21.466666666666665,0.0,0.0
78.7,21.3,0.0,0.0
80.7,19.3,0.0,0.0
77.33333333333333,22.666666666666668,0.0,0.0
75.83333333333333,24.166666666666668,0.0,0.0
72.73333333333333,27.266666666666666,0.0,0.0
78.73333333333333,21.266666666666666,0.0,0.0
100.0,0.0,0.0,0.0
