FTPT,FFPT,FTPF,FFPF
71.66666666666667,28.333333333333332,0.0,0.0
99.96666666666667,0.03333333333333333,0.0,0.0
100.0,0.0,0.0,0.0
77.0,23.0,0.0,0.0
0.03333333333333333,36.733333333333334,2.2,61.03333333333333
99.93333333333334,0.06666666666666667,0.0,0.0
97.56666666666666,2.433333333333333,0.0,0.0
99.56666666666666,0.43333333333333335,0.0,0.0
71.66666666666667,28.333333333333332,0.0,0.0
71.9,28.1,0.0,0.0
99.83333333333333,0.16666666666666666,0.0,0.0
100.0,0.0,0.0,0.0
72.73333333333333,27.266666666666666,0.0,0.0
71.63333333333334,28.366666666666667,0.0,0.0
98.6,1.4,0.0,0.0
99.96666666666667,0.03333333333333333,0.0,0.0
99.96666666666667,0.03333333333333333,0.0,0.0
71.1,28.9,0.0,0.0
71.1,28.9,0.0,0.0
2.7333333333333334,36.166666666666664,1.0333333333333334,60.06666666666667
