FTPT,FFPT,FTPF,FFPF
1.8333333333333333,34.93333333333333,0.03333333333333333,63.2
100.0,0.0,0.0,0.0
0.43333333333333335,36.333333333333336,0.3,62.93333333333333
100.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0
77.36666666666666,22.633333333333333,0.0,0.0
100.0,0.0,0.0,0.0
99.56666666666666,0.43333333333333335,0.0,0.0
100.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0
0.0,36.766666666666666,1.3333333333333333,61.9
100.0,0.0,0.0,0.0
99.93333333333334,0.06666666666666667,0.0,0.0
100.0,0.0,0.0,0.0
76.96666666666667,23.033333333333335,0.0,0.0
0.5666666666666667,36.2,0.36666666666666664,62.86666666666667
100.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0
99.76666666666667,0.23333333333333334,0.0,0.0
100.0,0.0,0.0,0.0
