S.No.,fg_class,bg_class,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
372,fg = 1,bg != 369,129,93.02325581395348,5.426356589147287,0.0,1.550387596899225,123
373,fg = 1,bg != 373,707,93.35219236209335,5.233380480905233,0.2828854314002829,1.1315417256011315,680
374,fg = 1,bg != 374,122,91.80327868852459,6.557377049180328,0.0,1.639344262295082,115
375,fg = 1,bg != 375,122,90.98360655737704,6.557377049180328,0.819672131147541,1.639344262295082,115
376,fg = 1,bg != 376,117,91.45299145299145,5.982905982905983,0.8547008547008547,1.7094017094017093,113
377,fg = 1,bg != 377,707,93.35219236209335,5.233380480905233,0.2828854314002829,1.1315417256011315,680
378,fg = 1,bg != 378,122,94.26229508196721,3.278688524590164,0.0,2.459016393442623,116
379,fg = 1,bg != 379,98,93.87755102040816,5.1020408163265305,1.0204081632653061,0.0,96
380,fg = 1,bg != 383,719,94.57579972183588,3.755215577190542,0.27816411682892905,1.3908205841446453,686
381,fg = 1,bg != 384,106,98.11320754716981,0.9433962264150944,0.0,0.9433962264150944,103
382,fg = 1,bg != 385,130,94.61538461538461,2.3076923076923075,0.7692307692307693,2.3076923076923075,123
383,fg = 1,bg != 386,127,92.91338582677166,5.511811023622047,0.0,1.5748031496062993,119
384,fg = 1,bg != 387,122,94.26229508196721,3.278688524590164,0.0,2.459016393442623,116
385,fg = 1,bg != 388,719,94.57579972183588,3.755215577190542,0.27816411682892905,1.3908205841446453,686
386,fg = 1,bg != 389,120,95.0,4.166666666666667,0.0,0.8333333333333334,113
387,fg = 1,bg != 393,690,94.20289855072464,4.202898550724638,0.43478260869565216,1.1594202898550725,660
388,fg = 1,bg != 394,113,95.57522123893806,3.5398230088495577,0.8849557522123894,0.0,108
389,fg = 1,bg != 395,105,92.38095238095238,3.8095238095238093,0.0,3.8095238095238093,99
390,fg = 1,bg != 396,129,93.02325581395348,5.426356589147287,0.0,1.550387596899225,123
391,fg = 1,bg != 397,98,93.87755102040816,5.1020408163265305,1.0204081632653061,0.0,96
392,fg = 1,bg != 398,120,95.0,4.166666666666667,0.0,0.8333333333333334,113
393,fg = 1,bg != 399,690,94.20289855072464,4.202898550724638,0.43478260869565216,1.1594202898550725,660
394,fg = 1,bg != 433,698,94.26934097421203,4.011461318051576,0.14326647564469913,1.5759312320916905,668
