epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,927,29073,411,9726,1586,18277,164937
1,22211,7789,3017,8310,2974,15699,77860
2,16990,13010,9469,7905,3280,9346,102769
3,17070,12930,14913,7040,2846,5201,111377
4,18282,11718,18415,5841,2086,3658,114032
5,20688,9312,20717,5112,1607,2564,101599
6,21638,8362,22006,4883,1214,1897,92196
7,22640,7360,23083,4522,964,1431,86969
8,23538,6462,23894,4201,775,1130,80190
9,23714,6286,24396,4164,568,872,80685
10,24263,5737,24850,4035,448,667,75787
11,24616,5384,25241,3858,358,543,73534
12,24345,5655,25262,3907,335,496,74356
13,24200,5800,25393,3884,307,416,76050
14,25407,4593,25849,3568,224,359,66384
15,25275,4725,25774,3638,222,366,66250
16,24596,5404,25827,3664,207,302,74055
17,24229,5771,25942,3670,160,228,74056
