S.No.,fg_class,bg_class,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
1,"fg = [0, 1, 2]","bg = [3, 4, 5, 6, 7, 8, 9]",30000,78.80666666666667,18.363333333333333,0.61,2.22,24465
2,fg = 0,bg != 33,2886,89.60498960498961,6.444906444906445,1.2820512820512822,2.668052668052668,2678
3,fg = 0,bg != 34,661,89.7125567322239,5.900151285930408,1.8154311649016641,2.571860816944024,619
4,fg = 0,bg != 35,725,88.41379310344827,8.0,1.2413793103448276,2.3448275862068964,664
5,fg = 0,bg != 36,642,90.18691588785046,6.386292834890965,0.9345794392523364,2.4922118380062304,602
6,fg = 0,bg != 37,649,89.52234206471495,6.163328197226503,1.694915254237288,2.6194144838212634,605
7,fg = 0,bg != 38,682,91.20234604105572,5.278592375366569,0.8797653958944281,2.6392961876832843,642
8,fg = 0,bg != 39,693,90.76479076479076,6.0606060606060606,1.1544011544011543,2.0202020202020203,646
9,fg = 0,bg != 43,661,89.7125567322239,5.900151285930408,1.8154311649016641,2.571860816944024,619
10,fg = 0,bg != 44,2878,90.20152883947186,5.767894371091035,1.2856150104239055,2.7449617790132037,2676
11,fg = 0,bg != 45,681,89.72099853157121,5.726872246696035,1.4684287812041117,3.0837004405286343,625
12,fg = 0,bg != 46,631,89.85736925515056,5.3882725832012675,1.109350237717908,3.6450079239302693,587
13,fg = 0,bg != 47,653,90.96477794793262,4.900459418070444,1.3782542113323124,2.756508422664625,614
14,fg = 0,bg != 48,669,91.92825112107623,4.783258594917788,0.8968609865470852,2.391629297458894,627
15,fg = 0,bg != 49,666,91.14114114114115,4.954954954954955,1.0510510510510511,2.8528528528528527,622
16,fg = 0,bg != 53,725,88.41379310344827,8.0,1.2413793103448276,2.3448275862068964,664
17,fg = 0,bg != 54,681,89.72099853157121,5.726872246696035,1.4684287812041117,3.0837004405286343,625
18,fg = 0,bg != 55,2974,89.00470746469402,6.691324815063887,1.1768661735036987,3.1271015467383996,2738
19,fg = 0,bg != 56,690,89.85507246376811,6.666666666666667,0.7246376811594203,2.753623188405797,642
20,fg = 0,bg != 57,671,88.97168405365127,6.259314456035767,1.639344262295082,3.1296572280178836,618
21,fg = 0,bg != 58,690,90.14492753623189,5.507246376811594,1.7391304347826086,2.608695652173913,632
22,fg = 0,bg != 59,676,89.05325443786982,7.544378698224852,0.8875739644970414,2.514792899408284,627
23,fg = 0,bg != 63,642,90.18691588785046,6.386292834890965,0.9345794392523364,2.4922118380062304,602
24,fg = 0,bg != 64,631,89.85736925515056,5.3882725832012675,1.109350237717908,3.6450079239302693,587
25,fg = 0,bg != 65,690,89.85507246376811,6.666666666666667,0.7246376811594203,2.753623188405797,642
26,fg = 0,bg != 66,2853,89.66000701016473,6.449351559761654,0.9814230634419909,2.909218366631616,2666
27,fg = 0,bg != 67,661,88.6535552193646,6.959152798789712,0.75642965204236,3.6308623298033282,613
28,fg = 0,bg != 68,635,91.18110236220473,5.354330708661418,0.7874015748031497,2.677165354330709,601
29,fg = 0,bg != 69,685,90.21897810218978,5.255474452554744,1.0218978102189782,3.5036496350364965,643
30,fg = 0,bg != 73,649,89.52234206471495,6.163328197226503,1.694915254237288,2.6194144838212634,605
31,fg = 0,bg != 74,653,90.96477794793262,4.900459418070444,1.3782542113323124,2.756508422664625,614
32,fg = 0,bg != 75,671,88.97168405365127,6.259314456035767,1.639344262295082,3.1296572280178836,618
33,fg = 0,bg != 76,661,88.6535552193646,6.959152798789712,0.75642965204236,3.6308623298033282,613
34,fg = 0,bg != 77,2854,89.45339873861248,6.377014716187807,1.3665031534688157,2.803083391730904,2660
35,fg = 0,bg != 78,697,91.10473457675754,5.0215208034433285,0.860832137733142,3.012912482065997,654
36,fg = 0,bg != 79,651,89.86175115207374,5.6835637480798775,1.3824884792626728,3.0721966205837172,612
37,fg = 0,bg != 83,682,91.20234604105572,5.278592375366569,0.8797653958944281,2.6392961876832843,642
38,fg = 0,bg != 84,669,91.92825112107623,4.783258594917788,0.8968609865470852,2.391629297458894,627
39,fg = 0,bg != 85,690,90.14492753623189,5.507246376811594,1.7391304347826086,2.608695652173913,632
40,fg = 0,bg != 86,635,91.18110236220473,5.354330708661418,0.7874015748031497,2.677165354330709,601
41,fg = 0,bg != 87,697,91.10473457675754,5.0215208034433285,0.860832137733142,3.012912482065997,654
42,fg = 0,bg != 88,2929,90.5428473881871,5.667463298053943,1.0583817002389895,2.7313076135199728,2725
43,fg = 0,bg != 89,685,90.65693430656934,5.985401459854015,1.167883211678832,2.18978102189781,634
44,fg = 0,bg != 93,693,90.76479076479076,6.0606060606060606,1.1544011544011543,2.0202020202020203,646
45,fg = 0,bg != 94,666,91.14114114114115,4.954954954954955,1.0510510510510511,2.8528528528528527,622
46,fg = 0,bg != 95,676,89.05325443786982,7.544378698224852,0.8875739644970414,2.514792899408284,627
47,fg = 0,bg != 96,685,90.21897810218978,5.255474452554744,1.0218978102189782,3.5036496350364965,643
48,fg = 0,bg != 97,651,89.86175115207374,5.6835637480798775,1.3824884792626728,3.0721966205837172,612
49,fg = 0,bg != 98,685,90.65693430656934,5.985401459854015,1.167883211678832,2.18978102189781,634
50,fg = 0,bg != 99,2901,89.96897621509824,6.377111340916925,1.1030679076180627,2.55084453636677,2698
51,fg = 1,bg != 33,3025,94.31404958677686,4.066115702479339,0.2644628099173554,1.3553719008264462,2906
52,fg = 1,bg != 34,698,94.26934097421203,4.011461318051576,0.14326647564469913,1.5759312320916905,668
53,fg = 1,bg != 35,676,93.93491124260355,3.9940828402366866,0.2958579881656805,1.7751479289940828,650
54,fg = 1,bg != 36,733,93.45156889495225,4.911323328785811,0.2728512960436562,1.364256480218281,701
55,fg = 1,bg != 37,707,93.35219236209335,5.233380480905233,0.2828854314002829,1.1315417256011315,680
56,fg = 1,bg != 38,719,94.57579972183588,3.755215577190542,0.27816411682892905,1.3908205841446453,686
57,fg = 1,bg != 39,690,94.20289855072464,4.202898550724638,0.43478260869565216,1.1594202898550725,660
58,fg = 1,bg != 43,698,94.26934097421203,4.011461318051576,0.14326647564469913,1.5759312320916905,668
59,fg = 1,bg != 44,2929,94.16182997610106,3.99453738477296,0.3414134516899966,1.502219187435985,2821
60,fg = 1,bg != 45,701,94.29386590584879,3.4236804564907275,0.28530670470756064,1.9971469329529243,677
61,fg = 1,bg != 46,667,94.00299850074963,4.6476761619190405,0.4497751124437781,0.8995502248875562,637
62,fg = 1,bg != 47,668,93.41317365269461,3.8922155688622753,0.2994011976047904,2.395209580838323,641
