FTPT,FFPT,FTPF,FFPF
20.566666666666666,31.5,0.4666666666666667,47.46666666666667
66.73333333333333,32.5,0.5333333333333333,0.23333333333333334
66.6,32.56666666666667,0.5333333333333333,0.3
2.7,34.46666666666667,0.0,62.833333333333336
46.06666666666667,45.3,2.8,5.833333333333333
33.266666666666666,39.9,0.1,26.733333333333334
18.9,33.233333333333334,0.6,47.266666666666666
34.06666666666667,32.233333333333334,0.0,33.7
65.43333333333334,33.13333333333333,0.9,0.5333333333333333
48.53333333333333,49.5,1.0333333333333334,0.9333333333333333
