S.No.,fg_class,bg_class,data_points,FTPT % ,FFPT % ,FTPF % ,FFPF % ,avg_img > 0.5
282,fg = 3,bg != 880,676,68.34319526627219,30.473372781065088,0.14792899408284024,1.0355029585798816,528
283,fg = 3,bg != 881,706,68.27195467422096,30.878186968838527,0.0,0.8498583569405099,542
284,fg = 3,bg != 882,728,72.66483516483517,26.51098901098901,0.13736263736263737,0.6868131868131868,567
285,fg = 3,bg != 886,681,72.83406754772393,26.72540381791483,0.0,0.44052863436123346,543
286,fg = 3,bg != 887,668,67.06586826347305,32.33532934131737,0.1497005988023952,0.4491017964071856,518
287,fg = 3,bg != 888,2906,69.4769442532691,29.62835512732278,0.06882312456985547,0.8258774948382657,2269
288,fg = 3,bg != 889,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
289,fg = 3,bg != 890,106,60.37735849056604,36.79245283018868,0.0,2.830188679245283,81
290,fg = 3,bg != 891,117,62.39316239316239,35.8974358974359,0.0,1.7094017094017093,91
291,fg = 3,bg != 892,132,72.72727272727273,26.515151515151516,0.0,0.7575757575757576,111
292,fg = 3,bg != 896,113,76.99115044247787,22.123893805309734,0.0,0.8849557522123894,94
293,fg = 3,bg != 897,99,71.71717171717172,28.282828282828284,0.0,0.0,85
294,fg = 3,bg != 898,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
295,fg = 3,bg != 899,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
296,fg = 3,bg != 900,659,67.07132018209408,31.71471927162367,0.15174506828528073,1.062215477996965,499
297,fg = 3,bg != 901,135,64.44444444444444,34.074074074074076,0.0,1.4814814814814814,106
298,fg = 3,bg != 902,122,69.67213114754098,29.508196721311474,0.819672131147541,0.0,91
299,fg = 3,bg != 906,103,71.84466019417475,28.155339805825243,0.0,0.0,76
300,fg = 3,bg != 907,116,65.51724137931035,33.62068965517241,0.0,0.8620689655172413,86
301,fg = 3,bg != 908,106,60.37735849056604,36.79245283018868,0.0,2.830188679245283,81
302,fg = 3,bg != 909,659,67.07132018209408,31.71471927162367,0.15174506828528073,1.062215477996965,499
303,fg = 3,bg != 910,135,64.44444444444444,34.074074074074076,0.0,1.4814814814814814,106
304,fg = 3,bg != 911,725,66.62068965517241,32.41379310344828,0.13793103448275862,0.8275862068965517,564
305,fg = 3,bg != 912,124,67.74193548387096,31.451612903225808,0.8064516129032258,0.0,103
306,fg = 3,bg != 916,117,64.1025641025641,35.8974358974359,0.0,0.0,87
307,fg = 3,bg != 917,117,70.94017094017094,29.05982905982906,0.0,0.0,96
308,fg = 3,bg != 918,117,62.39316239316239,35.8974358974359,0.0,1.7094017094017093,91
309,fg = 3,bg != 919,725,66.62068965517241,32.41379310344828,0.13793103448275862,0.8275862068965517,564
310,fg = 3,bg != 920,122,69.67213114754098,29.508196721311474,0.819672131147541,0.0,91
311,fg = 3,bg != 921,124,67.74193548387096,31.451612903225808,0.8064516129032258,0.0,103
312,fg = 3,bg != 922,737,76.79782903663501,22.388059701492537,0.27137042062415195,0.5427408412483039,595
313,fg = 3,bg != 926,111,81.98198198198199,18.01801801801802,0.0,0.0,92
314,fg = 3,bg != 927,113,86.72566371681415,12.389380530973451,0.0,0.8849557522123894,96
315,fg = 3,bg != 928,132,72.72727272727273,26.515151515151516,0.0,0.7575757575757576,111
316,fg = 3,bg != 929,737,76.79782903663501,22.388059701492537,0.27137042062415195,0.5427408412483039,595
317,fg = 3,bg != 960,103,71.84466019417475,28.155339805825243,0.0,0.0,76
318,fg = 3,bg != 961,117,64.1025641025641,35.8974358974359,0.0,0.0,87
319,fg = 3,bg != 962,111,81.98198198198199,18.01801801801802,0.0,0.0,92
320,fg = 3,bg != 966,670,71.04477611940298,28.80597014925373,0.0,0.14925373134328357,518
321,fg = 3,bg != 967,121,76.85950413223141,23.140495867768596,0.0,0.0,95
322,fg = 3,bg != 968,113,76.99115044247787,22.123893805309734,0.0,0.8849557522123894,94
323,fg = 3,bg != 969,670,71.04477611940298,28.80597014925373,0.0,0.14925373134328357,518
324,fg = 3,bg != 970,116,65.51724137931035,33.62068965517241,0.0,0.8620689655172413,86
325,fg = 3,bg != 971,117,70.94017094017094,29.05982905982906,0.0,0.0,96
326,fg = 3,bg != 972,113,86.72566371681415,12.389380530973451,0.0,0.8849557522123894,96
327,fg = 3,bg != 976,121,76.85950413223141,23.140495867768596,0.0,0.0,95
328,fg = 3,bg != 977,664,73.49397590361446,26.05421686746988,0.0,0.45180722891566266,538
329,fg = 3,bg != 978,99,71.71717171717172,28.282828282828284,0.0,0.0,85
330,fg = 3,bg != 979,664,73.49397590361446,26.05421686746988,0.0,0.45180722891566266,538
331,fg = 3,bg != 980,106,60.37735849056604,36.79245283018868,0.0,2.830188679245283,81
332,fg = 3,bg != 981,117,62.39316239316239,35.8974358974359,0.0,1.7094017094017093,91
333,fg = 3,bg != 982,132,72.72727272727273,26.515151515151516,0.0,0.7575757575757576,111
334,fg = 3,bg != 986,113,76.99115044247787,22.123893805309734,0.0,0.8849557522123894,94
335,fg = 3,bg != 987,99,71.71717171717172,28.282828282828284,0.0,0.0,85
336,fg = 3,bg != 988,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
337,fg = 3,bg != 989,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
338,fg = 3,bg != 990,659,67.07132018209408,31.71471927162367,0.15174506828528073,1.062215477996965,499
339,fg = 3,bg != 991,725,66.62068965517241,32.41379310344828,0.13793103448275862,0.8275862068965517,564
340,fg = 3,bg != 992,737,76.79782903663501,22.388059701492537,0.27137042062415195,0.5427408412483039,595
341,fg = 3,bg != 996,670,71.04477611940298,28.80597014925373,0.0,0.14925373134328357,518
342,fg = 3,bg != 997,664,73.49397590361446,26.05421686746988,0.0,0.45180722891566266,538
343,fg = 3,bg != 998,653,69.67840735068913,28.79019908116386,0.0,1.5313935681470139,524
344,fg = 3,bg != 999,2930,70.75085324232082,28.395904436860068,0.10238907849829351,0.7508532423208191,2305
345,fg = 4,bg != 000,2946,60.55668703326545,37.81398506449423,0.27155465037338766,1.3577732518669383,1995
346,fg = 4,bg != 001,708,57.20338983050848,40.96045197740113,0.2824858757062147,1.5536723163841808,474
347,fg = 4,bg != 002,704,67.32954545454545,30.96590909090909,0.14204545454545456,1.5625,484
